"","MESSAGE_BODY","MESSAGE_FAVORITES_COUNT","MESSAGE_POSTED_TIME","MESSAGE_RETWEET_COUNT","MESSAGE_ACTION","USER_GENDER","USER_FOLLOWERS_COUNT","USER_SCREEN_NAME","USER_CITY","X10"
"1","RT @DeSalesMedia: Today is the Feast Day of St. Jean Baptiste de la Salle, patron saint of teachers. Please #pray for our #teachers. https:<U+0089><db>_","0","27:17.0","10","share","female","24","JHeppt",NA,NA
"2","RT @DeSalesMedia: This weekend, nearly 3000 young people attended #BCYD events, representing 60 parishes and 12 Catholic high schools! http<U+0089><db>_","0","46:00.0","1","share","unknown","282","NuestraVozDOB","NEW YORK CITY",NA
"3","RT @DeSalesMedia: .@FatherRosica Communication has the power to build bridges, to enable encounter and inclusion, and thus to enrich societ<U+0089><db>_","0","47:06.0","2","share","male","503","StJoseph_BK","NEW YORK CITY",NA
"4","RT @DeSalesMedia: Tribute to Gaetano Gagliano, founder of @saltandlighttv at #WCDnyc https://t.co/ou6ySUE3b0","0","52:03.0","4","share","unknown","1110","NETnyTV","Brooklyn",NA
"5","Congrats to @BrooklynDiocese on outstanding #WCDnyc! Engaging speakers &amp; great networking. And @DeSalesMedia is top notch operation.","0","16:53.0","0","post","unknown","735","tonyrossimedia",NA,NA
"6","@StJoseph_BK @NY_Arch @BrooklynDiocese @DeaconGregK @NYSCatholicConf @doboff @CFBQ @DeSalesMedia #SPOTLIGHT #CHILDRAPE #SHAME #CATHOLICLIES","0","19:51.0","0","post",NA,"6773","GerbinoJeff","Tampa",NA
"7","Fatima Statue Visits @BrooklynDiocese on a Pilgrimage for Peace https://t.co/UgPwVHLRoK @DeSalesMedia @StJoseph_BK https://t.co/UuTp5jUz4C","0","41:04.0","0","post","unknown","1252","TabletNewspaper","NEW YORK CITY",NA
"8","Thank you Faith Catholic @FAITHPub for the awesome  @Bose speaker! #CMC16 @DeSalesMedia https://t.co/hPdld4pzB2","0","15:14.0","0","post","male","126","DeMedievalist","NEW YORK CITY",NA
"9","@DeMedievalist @DeSalesMedia @BrooklynDiocese thanks for joining me today!","0","52:35.0","0","post","female","1091","kpesha","St. Louis",NA
"10","Have you seen the latest episode of ""Too Blessed to be Stressed? Check it out @corazonpuronyc @NETnyTV @DeSalesMedia https://t.co/6gr30fjodU","0","15:59.0","0","post","male","4643","DavidBisono","Brooklyn",NA
"11","RT @DeSalesMedia: Meet the man who wants to modernize Church's communication skills, our friend @austeni! https://t.co/FizQCrPdfa https://t<U+0089><db>_","0","34:06.0","4","share","unknown","6205","CatholicVoices","London",NA
"12","RT @DeSalesMedia: Last night, nearly 2000 people came together to pray for lives lost to violence last week: https://t.co/PNwglT8nFa https:<U+0089><db>_","0","21:25.0","6","share","female","139","AnchorLiz","Brooklyn",NA
