"","screenname","tweets"
"1","MiddleSeatView","@axenty @BriggsandRiley ohh - will look into them for replacement! To be fair, this bag lasted 6 years &amp; it wasn't the airlines fault"
"2","SavvyNavigator","A2: love, love, love my @BriggsandRiley 22<U+0089><U+06DD> rollaboard &amp; computer backpack. Never leave home without #Luxtravelchat"
"3","MileyOrangeOwl","Hello @briggsandriley , your business profile has been added to Owler: http://t.co/0ixQ1vjsbP"
"4","neilbearse","@Jason @BriggsandRiley love mine from @BrenthavenNews"
"5","lauradavidson","RT @LDPR: We've searched for THE BEST #carryon.. and we've found it. Thrilled to announce @BriggsandRiley to our LDPR family! https://t.co/<U+0089><db>_"
"6","aoftelie","@HallieJackson  @BriggsandRiley are WAY better bags. Lifetime warranty &amp; have never used it yet &amp; coming up on 1 million miles. #NeverTumi"
"7","karynlocke","@driveonleft @luxtravelchat @BriggsandRiley I'll take well-built over fashion at this point! Mine just keep disintegrating! #luxtravelchat"
"8","airfarewatchdog","We like: Even if the #airline destroys your bag and won<U+0089><U+06EA>t pay @BriggsandRiley repairs for free http://t.co/VUCpxAV5Sq"
"9","FreqBizTraveler",".@BriggsandRiley is a contender for 2015 Best Luggage Maker. Cast your vote here http://t.co/TLZMikhqoX  #Travel #Luggage #BizTravel"
"10","OgdenStevi","Out of here #briggsandriley https://t.co/1v2RLiGN3c"
"11","NatRaybould","@LondonLuggage hi, are you an official B&amp;R retailer? If not does that affect the lifetime guarantee? @BriggsandRiley"
"12","TravelDogPR","RT @BriggsandRiley: Does your #luggage perform? Watch this video and decide. https://t.co/Ikcowtrtw3 #BriggsandRiley #Performance #Style"
"13","autop1lot","@joelgarabedian @BriggsandRiley Very nice. I am shopping around for one too. _<d9><U+050D>_<U+064F><c8>_<d9><f7><U+06C9><cf><f6><U+0095><fc><U+008F>"
"14","DannyLeBlanc24","RT @BriggsandRiley: Did someone say Florida Christmas? _<d9><U+03AB>_<U+0650>_ #sundayscaries https://t.co/ebrOqMmKzU"
"15","unfoldthesoul","@BriggsandRiley I wish I could inform CR about how 2 attempts at communicating w 'client svcs' hv been completely ignored. #cultureisimpt"
"16","JamieWinningIt","RT @Caribtours: #COMPETITION - #Win a @BriggsandRiley #suitcase, follow the link to enter. https://t.co/jXJRTZK1xe https://t.co/tQQ7qmzs0D"
"17","andr3wGeltz","RT @Caribtours: #COMPETITION - #Win a @BriggsandRiley #suitcase, follow the link to enter. https://t.co/jXJRTZK1xe https://t.co/tQQ7qmzs0D"
"18","sbearbergman","Dear @briggsandriley: if I send you my busted @eaglecreekgear bags, will you give me a discount for switching? @JairusKhan @audrawilliams"
"19","luxtravelchat","RT @SavvyNavigator: A2: love, love, love my @BriggsandRiley 22<U+0089><U+06DD> rollaboard &amp; computer backpack. Never leave home without #Luxtravelchat"
"20","ChrisChiera","Nice @JetBlue just destroyed the bottom of my husband's @BriggsandRiley bag (broke wheel off) and said oops, tough luck."
"21","annyhanny","RT @SavvyNavigator: A5: Almost didn<U+0089><U+06EA>t buy the @BriggsandRiley 22<U+0089><U+06DD> rollabaord but bossy @annyhanny forced me &amp; I LOVE it #LuxTravelChat"
"22","Gabriele_Wanrts","RT @WeBlogtheWorld: Heading to #Europe happily in my @Arcopedico boots &amp; my @BriggsandRiley #luggage on @lufthansa from @flySFO! http://t.co/qnsYuGjmN7"
"23","ashleyfayth","Anyone know if the @BriggsandRiley BL International Spinner will ACTUALLY fit in the @Ryanair carryon bin? #BriggsandRiley #CarryOn #Luggage"
"24","ATourista1","RT @SantaMonicaPlc: Join Packing Expert, Annslie Bigbee of @BriggsandRiley for demos, raffle prizes and more! https://t.co/Hxn5gR9Xsl https<U+0089><db>_"
"25","KidsSuitcases","RT @BriggsandRiley: Have you found friends over matching #BriggsAndRiley #luggage like these gentlemen? Where will you go? _<d9><d2><e1>: @sators https<U+0089><db>_"
"26","mollyluise","RT @BriggsandRiley: ""Maybe they won't even notice..."" Where are you &amp; your #overnightbag headed next? _<d9><d2><e1>: @alisaq #JetSetPets https://t.co/K<U+0089><db>_"
"27","buythisonce","RT @BriggsandRiley: ""Maybe they won't even notice..."" Where are you &amp; your #overnightbag headed next? _<d9><d2><e1>: @alisaq #JetSetPets https://t.co/K<U+0089><db>_"
"28","BnBScottsdale","@BriggsandRiley Holiday Sale _<d9>_<e3> Get $50 off every $350 spent on all collections _<d9>_<U+0081> https://t.co/o221DqM9gR"
"29","SaviTravels","#Tours #Travel Specialist #Call +919314388288 https://t.co/at7JQ08xcO BriggsandRiley Please could you contact us via <U+0089><db>_"
"30","dingbuzz7","RT @Caribtours: #COMPETITION - #Win a @BriggsandRiley #suitcase, follow the link to enter. https://t.co/jXJRTZK1xe https://t.co/tQQ7qmzs0D"
"31","driveonleft","@mrsoaroundworld @BestBitsWorld @BriggsandRiley not sheek necessarily, but super high quality construction #Luxtravelchat"
"32","XSpacetations","Perfect way 2 kickoff Valentine @BriggsandRiley. Donate gently used rolling luggage &amp; spread a bit of love to others: http://t.co/86yDBGexcl"
"33","WeBlogtheWorld","Heading to #Europe happily in my @Arcopedico boots &amp; my @BriggsandRiley #luggage on @lufthansa from @flySFO! http://t.co/qnsYuGjmN7"
"34","RoyalGroupVisas","RT @BriggsandRiley: Happy #WorldTourismDay! Make sure you're traveling with the best companion - @TravelLeisure <U+0089><cf><f6> https://t.co/K6TRZDEr1O #<U+0089><db>_"
"35","SinisterCirce","@BriggsandRiley I'm interested in buying the new navy Baseline carryon. Is signature required when receiving the shipment?"
"36","lexdevil","@BriggsandRiley No reply from you. And no promised return call from repair facility. Hard to recommend Briggs &amp; Riley."
"37","saab007","I broke my @BriggsandRiley business bag at #LGA @LGAairport _<d9><f7>_ #FrequentFlyerProblems https://t.co/OzrlstLPZZ"
